City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,khairpur nathan shah,27.0936,67.7337,304.73,68,100,4.06,PK,1722896685
218,tshikapa,-6.4167,20.8,297.45,28,32,0.28,CD,1722896686
219,skovorodino,53.9833,123.9167,287.33,95,3,1.13,RU,1722896688
220,felege neway,6.3,36.8833,289.74,96,100,0.92,ET,1722896689
221,hamilton,39.1834,-84.5333,307.53,52,20,3.09,US,1722896690
222,hasaki,35.7333,140.8333,301.37,83,2,4.04,JP,1722896691
223,birganj,27.0104,84.8774,299.25,91,100,2.54,NP,1722896692
224,baihe,22.15,107.2333,297.58,95,43,1.02,CN,1722896693
225,manaure,11.7751,-72.4445,302.51,72,99,9.35,CO,1722896694
226,bikenibeu village,1.3673,173.1241,302.25,64,84,5.05,KI,1722896695
227,tsiombe,-25.3,45.4833,290.87,94,4,0.89,MG,1722896696
228,turtas,58.9417,69.1325,290.64,76,91,0.31,RU,1722896697
229,east ballina,-28.8667,153.5833,290.26,83,100,3.5,AU,1722896698
230,minas de marcona,-15.2119,-75.1103,286.26,71,0,7.1,PE,1722896699
231,chegdomyn,51.1167,133.0167,292.93,96,100,1.34,RU,1722896700
232,gobabis,-22.45,18.9667,283.55,29,0,5.01,NA,1722896701
233,mount pearl,47.5166,-52.7813,294.44,93,75,8.23,CA,1722896702
234,petropavlovsk-kamchatsky,53.0452,158.6483,286.48,100,100,3.0,RU,1722896703
235,monrovia,6.3005,-10.7969,298.02,84,54,4.55,LR,1722896704
236,kharp,66.8014,65.8081,278.0,79,1,1.96,RU,1722896705
237,vilyuchinsk,52.9306,158.4028,287.3,78,100,0.71,RU,1722896706
238,birine,35.635,3.225,300.07,18,0,4.05,DZ,1722896707
239,lata,40.1629,-8.3327,292.08,97,1,1.56,PT,1722896708
240,salalah,17.0151,54.0924,298.2,94,100,2.06,OM,1722896710
241,uturoa,-16.7333,-151.4333,298.96,76,51,7.05,PF,1722896711
242,nova sintra,14.8667,-24.7167,299.85,81,49,2.34,CV,1722896712
243,katima mulilo,-17.5,24.2667,290.77,17,0,2.09,NA,1722896713
244,camacupa,-12.0167,17.4833,291.57,22,4,0.47,AO,1722896714
245,chonchi,-42.6128,-73.8092,281.71,99,100,0.38,CL,1722896715
246,shumikha,55.2261,63.2961,288.9,97,87,3.0,RU,1722896716
247,spring creek,40.7266,-115.5859,309.16,16,87,1.79,US,1722896717
248,antofagasta,-23.65,-70.4,287.75,86,57,4.28,CL,1722896542
249,mahebourg,-20.4081,57.7,290.31,88,20,3.09,MU,1722896719
250,ponta delgada,37.7333,-25.6667,297.55,88,40,3.09,PT,1722896720
251,champerico,14.3,-91.9167,307.45,71,81,2.66,GT,1722896721
252,wucheng,29.6008,118.175,297.23,88,96,0.34,CN,1722896722
253,horta,38.5333,-28.6333,297.95,94,40,5.14,PT,1722896723
254,polyarnyy,69.1989,33.4478,282.01,77,3,1.77,RU,1722896724
255,tianpeng,30.9866,103.9393,299.41,92,74,0.93,CN,1722896725
256,vila velha,-20.3297,-40.2925,296.12,90,0,3.09,BR,1722896493
257,mumbwa,-14.9783,27.0619,290.82,18,0,0.58,ZM,1722896727
258,thunder bay,48.4001,-89.3168,296.14,40,100,4.12,CA,1722896715
259,vondrozo,-22.8167,47.2833,287.59,95,3,1.43,MG,1722896729
260,le port,-20.9373,55.2919,292.15,74,5,2.47,RE,1722896730
261,mikkeli,61.6886,27.2723,286.56,100,20,0.0,FI,1722896731
262,marquette,46.5333,-87.6335,292.97,54,100,0.89,US,1722896732
263,patnanungan,14.7833,122.1833,300.57,81,100,5.7,PH,1722896733
264,mermoz boabab,14.7065,-17.4758,299.03,89,75,2.06,SN,1722896734
265,idrinskoye,54.3708,92.1358,288.59,98,100,1.95,RU,1722896737
266,island harbour,50.724,-1.2758,292.19,78,83,0.89,GB,1722896738
267,liwa,24.5361,56.5656,304.16,62,100,7.72,OM,1722896739
268,selfoss,63.9331,-20.9971,283.73,98,100,2.97,IS,1722896740
269,la passe,45.5549,-0.8967,295.28,90,0,4.03,FR,1722896742
270,hilo,19.7297,-155.09,301.55,74,0,2.57,US,1722896743
271,pont rouge,48.8833,-72.0825,294.21,50,65,4.23,CA,1722896744
272,mont-laurier,46.5501,-75.4993,288.94,85,90,0.42,CA,1722896745
273,novo aripuana,-5.1206,-60.3797,303.48,33,81,0.93,BR,1722896747
274,olinda,-8.0089,-34.8553,299.0,69,40,5.66,BR,1722896748
275,dzuunharaa,48.8523,106.4579,287.06,96,99,0.71,MN,1722896749
276,matola,-25.9622,32.4589,289.12,82,40,2.57,MZ,1722896750
277,utrik,11.2278,169.8474,301.26,81,97,6.67,MH,1722896751
278,shuangjiang,26.1547,109.7138,295.74,98,53,1.39,CN,1722896752
279,chernomorskoye,45.5039,32.6997,297.41,73,100,5.41,UA,1722896753
280,bardai,11.65,7.2333,295.04,93,100,2.54,NG,1722896754
281,pitiquito,30.7,-112.0833,312.5,27,45,2.38,MX,1722896755
282,yelovo,57.0538,54.9207,287.85,93,8,2.26,RU,1722896756
283,sao felix do xingu,-6.6447,-51.995,300.31,32,1,0.99,BR,1722896757
284,colonia,50.9333,6.95,293.29,81,0,2.06,DE,1722896758
285,preobrazheniye,42.9019,133.9064,292.07,87,98,0.92,RU,1722896760
286,guatire,10.4762,-66.5427,301.79,93,99,0.79,VE,1722896761
287,mtimbira,-8.7833,36.35,293.72,55,0,1.1,TZ,1722896762
288,port-vila,-17.7338,168.3219,294.93,78,100,4.12,VU,1722896763
289,kasongo-lunda,-6.4667,16.8167,300.36,38,75,1.42,CD,1722896764
290,chuguyevka,44.1653,133.8633,295.17,85,94,1.59,RU,1722896765
291,krasnoshchekovo,51.6708,82.7289,287.69,85,48,1.77,RU,1722896766
292,cidreira,-30.1811,-50.2056,288.87,98,92,4.0,BR,1722896767
293,sona,45.4388,10.8255,298.9,65,0,2.57,IT,1722896768
294,kolonia,50.9333,6.95,293.29,81,0,2.06,DE,1722896769
295,kariba,-16.5167,28.8,292.8,31,0,1.41,ZW,1722896770
296,pisco,-13.7,-76.2167,292.18,72,0,2.57,PE,1722896771
297,puerto baquerizo moreno,-0.9,-89.6,295.7,78,75,4.63,EC,1722896772
298,nagqu,31.5,92.0,276.68,81,5,0.95,CN,1722896773
299,escuinapa,22.85,-105.8,305.99,60,33,5.04,MX,1722896774
300,guelmim,28.987,-10.0574,294.34,78,0,5.14,MA,1722896775
301,wangqing,43.3218,129.7634,293.68,99,100,1.68,CN,1722896776
302,banda aceh,5.5577,95.3222,299.88,80,94,5.01,ID,1722896777
303,vikindu,-7.0067,39.2985,294.1,92,0,3.14,TZ,1722896778
304,holualoa,19.6228,-155.9522,300.06,78,40,4.12,US,1722896779
305,kobarid,46.2481,13.5772,295.38,72,47,2.68,SI,1722896780
306,remire-montjoly,4.9167,-52.2667,302.17,74,0,3.09,GF,1722896781
307,georgetown,5.4112,100.3354,301.11,78,20,1.03,MY,1722896710
308,east london,-33.0153,27.9116,287.07,52,0,2.5,ZA,1722896783
309,notodden,59.5594,9.2585,290.77,86,100,1.33,NO,1722896784
310,ciudad tula,23.0,-99.7167,299.95,58,42,3.7,MX,1722896785
311,deschutes river woods,43.9915,-121.3584,306.57,26,0,5.66,US,1722896787
312,catriel,-37.8791,-67.7956,287.22,36,78,3.28,AR,1722896788
313,lavras da mangabeira,-6.7533,-38.9644,299.24,36,65,1.37,BR,1722896789
314,ivanteyevka,55.9711,37.9208,291.91,87,8,0.89,RU,1722896790
315,merizo village,13.2658,144.6691,302.58,90,99,2.56,GU,1722896791
316,rolla,37.9514,-91.7713,307.88,51,0,0.0,US,1722896538
317,heroica matamoros,25.8833,-97.5,307.1,59,40,6.17,MX,1722896700
318,las tablas,7.7667,-80.2833,299.36,99,89,0.95,PA,1722896794
319,phrae,18.0833,100.0,295.52,100,40,1.03,TH,1722896795
320,callaway,30.153,-85.5699,306.18,62,20,6.26,US,1722896796
321,siguiri,11.6667,-9.5,295.8,96,90,0.73,GN,1722896797
322,kiruhura,-2.4773,29.7679,288.72,38,6,1.61,RW,1722896798
323,zhangjiajie,29.1294,110.4783,299.27,90,88,0.83,CN,1722896799
324,tortoli,39.9256,9.6572,300.05,83,0,1.54,IT,1722896800
325,prince george,53.9166,-122.753,294.98,46,20,2.57,CA,1722896801
326,malgobek,43.5092,44.5931,295.09,71,100,2.36,RU,1722896802
327,katsuura,35.1333,140.3,301.16,90,3,3.54,JP,1722896803
328,kiama,-34.6833,150.8667,286.14,63,20,4.95,AU,1722896804
329,san juan nepomuceno,9.9516,-75.082,300.43,85,100,4.35,CO,1722896692
